Month,reference,target,missing,target_prev,target_ma_manual,target_ma_rolling,target_interp_manual,target_interp_pd,ref_smooth_formula,ref_smooth_ewm
1949-01-01,112,112.0,,112.0,112.0,112.0,112.0,112.0,112.0,112.0
1949-02-01,118,118.0,,118.0,118.0,118.0,118.0,118.0,113.2,113.2
1949-03-01,132,132.0,,132.0,132.0,132.0,132.0,132.0,116.96,116.96
1949-04-01,129,,129.0,132.0,120.66666666666667,120.66666666666667,126.5,126.5,119.368,119.368
1949-05-01,121,121.0,,121.0,121.0,121.0,121.0,121.0,119.6944,119.6944
1949-06-01,135,135.0,,135.0,135.0,135.0,135.0,135.0,122.75551999999999,122.75551999999999
1949-07-01,148,148.0,,148.0,148.0,148.0,148.0,148.0,127.80441599999999,127.80441599999999
1949-08-01,148,,148.0,148.0,134.66666666666666,134.66666666666666,142.0,142.0,131.8435328,131.8435328
1949-09-01,136,136.0,,136.0,136.0,136.0,136.0,136.0,132.67482624,132.67482624
1949-10-01,119,,119.0,136.0,139.55555555555554,142.0,120.0,120.0,129.93986099199998,129.93986099199998
1949-11-01,104,104.0,,104.0,104.0,104.0,104.0,104.0,124.75188879359999,124.75188879359999
1949-12-01,118,118.0,,118.0,118.0,118.0,118.0,118.0,123.40151103487999,123.40151103487999
1950-01-01,115,115.0,,115.0,115.0,115.0,115.0,115.0,121.721208827904,121.721208827904
1950-02-01,126,,126.0,115.0,112.33333333333333,112.33333333333333,128.0,128.0,122.5769670623232,122.5769670623232
1950-03-01,141,141.0,,141.0,141.0,141.0,141.0,141.0,126.26157364985856,126.26157364985856
1950-04-01,135,135.0,,135.0,135.0,135.0,135.0,135.0,128.00925891988686,128.00925891988686
1950-05-01,125,125.0,,125.0,125.0,125.0,125.0,125.0,127.4074071359095,127.4074071359095
1950-06-01,149,149.0,,149.0,149.0,149.0,149.0,149.0,131.7259257087276,131.7259257087276
1950-07-01,170,170.0,,170.0,170.0,170.0,170.0,170.0,139.38074056698207,139.38074056698207
1950-08-01,170,170.0,,170.0,170.0,170.0,170.0,170.0,145.50459245358564,145.50459245358564
1950-09-01,158,,158.0,170.0,163.0,163.0,151.5,151.5,148.0036739628685,148.0036739628685
1950-10-01,133,133.0,,133.0,133.0,133.0,133.0,133.0,145.0029391702948,145.0029391702948
1950-11-01,114,114.0,,114.0,114.0,114.0,114.0,114.0,138.80235133623583,138.80235133623583
1950-12-01,140,,140.0,114.0,136.66666666666666,123.5,129.5,129.5,139.04188106898866,139.04188106898866
1951-01-01,145,145.0,,145.0,145.0,145.0,145.0,145.0,140.23350485519092,140.23350485519092
1951-02-01,150,150.0,,150.0,150.0,150.0,150.0,150.0,142.18680388415274,142.18680388415274
1951-03-01,178,,178.0,150.0,143.88888888888889,147.5,156.5,156.5,149.3494431073222,149.3494431073222
1951-04-01,163,163.0,,163.0,163.0,163.0,163.0,163.0,152.07955448585776,152.07955448585776
1951-05-01,172,,172.0,163.0,152.2962962962963,156.5,170.5,170.5,156.0636435886862,156.0636435886862
1951-06-01,178,178.0,,178.0,178.0,178.0,178.0,178.0,160.45091487094896,160.45091487094896
1951-07-01,199,199.0,,199.0,199.0,199.0,199.0,199.0,168.16073189675916,168.16073189675916
1951-08-01,199,199.0,,199.0,199.0,199.0,199.0,199.0,174.3285855174073,174.3285855174073
1951-09-01,184,184.0,,184.0,184.0,184.0,184.0,184.0,176.26286841392584,176.26286841392584
1951-10-01,162,162.0,,162.0,162.0,162.0,162.0,162.0,173.41029473114065,173.41029473114065
1951-11-01,146,146.0,,146.0,146.0,146.0,146.0,146.0,167.92823578491252,167.92823578491252
1951-12-01,166,,166.0,146.0,164.0,164.0,158.5,158.5,167.54258862793,167.54258862793
1952-01-01,171,171.0,,171.0,171.0,171.0,171.0,171.0,168.234070902344,168.234070902344
1952-02-01,180,180.0,,180.0,180.0,180.0,180.0,180.0,170.5872567218752,170.5872567218752
1952-03-01,193,193.0,,193.0,193.0,193.0,193.0,193.0,175.06980537750016,175.06980537750016
1952-04-01,181,181.0,,181.0,181.0,181.0,181.0,181.0,176.25584430200013,176.25584430200013
1952-05-01,183,,183.0,181.0,184.66666666666666,184.66666666666666,199.5,199.5,177.6046754416001,177.6046754416001
1952-06-01,218,218.0,,218.0,218.0,218.0,218.0,218.0,185.6837403532801,185.6837403532801
1952-07-01,230,230.0,,230.0,230.0,230.0,230.0,230.0,194.54699228262407,194.54699228262407
1952-08-01,242,242.0,,242.0,242.0,242.0,242.0,242.0,204.03759382609928,204.03759382609928
1952-09-01,209,209.0,,209.0,209.0,209.0,209.0,209.0,205.03007506087943,205.03007506087943
1952-10-01,191,191.0,,191.0,191.0,191.0,191.0,191.0,202.22406004870354,202.22406004870354
1952-11-01,172,172.0,,172.0,172.0,172.0,172.0,172.0,196.17924803896284,196.17924803896284
1952-12-01,194,194.0,,194.0,194.0,194.0,194.0,194.0,195.74339843117028,195.74339843117028
1953-01-01,196,196.0,,196.0,196.0,196.0,196.0,196.0,195.79471874493623,195.79471874493623
1953-02-01,196,,196.0,196.0,187.33333333333334,187.33333333333334,216.0,216.0,195.83577499594898,195.83577499594898
1953-03-01,236,236.0,,236.0,236.0,236.0,236.0,236.0,203.86861999675918,203.86861999675918
1953-04-01,235,235.0,,235.0,235.0,235.0,235.0,235.0,210.09489599740735,210.09489599740735
1953-05-01,229,,229.0,235.0,219.44444444444446,235.5,239.0,239.0,213.87591679792587,213.87591679792587
1953-06-01,243,243.0,,243.0,243.0,243.0,243.0,243.0,219.7007334383407,219.7007334383407
1953-07-01,264,264.0,,264.0,264.0,264.0,264.0,264.0,228.56058675067257,228.56058675067257
1953-08-01,272,,272.0,264.0,242.14814814814815,253.5,250.5,250.5,237.24846940053806,237.24846940053806
1953-09-01,237,237.0,,237.0,237.0,237.0,237.0,237.0,237.19877552043044,237.19877552043044
1953-10-01,211,211.0,,211.0,211.0,211.0,211.0,211.0,231.95902041634434,231.95902041634434
1953-11-01,180,180.0,,180.0,180.0,180.0,180.0,180.0,221.5672163330755,221.5672163330755
1953-12-01,201,201.0,,201.0,201.0,201.0,201.0,201.0,217.4537730664604,217.4537730664604
1954-01-01,204,204.0,,204.0,204.0,204.0,204.0,204.0,214.7630184531683,214.7630184531683
1954-02-01,188,188.0,,188.0,188.0,188.0,188.0,188.0,209.41041476253466,209.41041476253466
1954-03-01,235,235.0,,235.0,235.0,235.0,235.0,235.0,214.52833181002774,214.52833181002774
1954-04-01,227,,227.0,235.0,209.0,209.0,234.5,234.5,217.02266544802217,217.02266544802217
1954-05-01,234,234.0,,234.0,234.0,234.0,234.0,234.0,220.41813235841772,220.41813235841772
1954-06-01,264,,264.0,234.0,226.0,234.5,268.0,268.0,229.13450588673416,229.13450588673416
1954-07-01,302,302.0,,302.0,302.0,302.0,302.0,302.0,243.7076047093873,243.7076047093873
1954-08-01,293,293.0,,293.0,293.0,293.0,293.0,293.0,253.56608376750987,253.56608376750987
1954-09-01,259,259.0,,259.0,259.0,259.0,259.0,259.0,254.65286701400788,254.65286701400788
1954-10-01,229,229.0,,229.0,229.0,229.0,229.0,229.0,249.5222936112063,249.5222936112063
